<date>,<open>,<high>,<low>,<close>,<vol>
1/2/1991 0:00,15.63,15.63,15.63,15.63,190
1/3/1991 0:00,15.39,15.39,15.39,15.39,45
1/4/1991 0:00,15.31,15.31,15.31,15.31,68
1/5/1991 0:00,15.23,15.23,15.23,15.23,22
1/7/1991 0:00,15.47,15.47,15.47,15.47,73
1/9/1991 0:00,15.31,15.31,15.31,15.31,32
1/10/1991 0:00,15.23,15.23,15.23,15.23,3
1/11/1991 0:00,15.15,15.15,15.15,15.15,3
1/14/1991 0:00,14.99,14.99,14.99,14.99,2
1/15/1991 0:00,14.92,14.92,14.92,14.92,1
1/16/1991 0:00,14.85,14.85,14.85,14.85,6
1/17/1991 0:00,14.78,14.78,14.78,14.78,4
1/18/1991 0:00,14.71,14.71,14.71,14.71,5
1/19/1991 0:00,14.64,14.64,14.64,14.64,4
1/29/1991 0:00,14.58,14.58,14.58,14.58,3
1/30/1991 0:00,14.51,14.51,14.51,14.51,17
1/31/1991 0:00,14.44,14.46,14.44,14.45,490
2/1/1991 0:00,14.45,14.52,14.45,14.52,245
2/2/1991 0:00,14.59,14.59,14.59,14.59,13
2/4/1991 0:00,14.66,14.66,14.66,14.66,56
2/5/1991 0:00,14.73,14.73,14.73,14.73,29
2/6/1991 0:00,14.8,14.8,14.8,14.8,29
2/7/1991 0:00,14.87,14.87,14.87,14.87,48
2/8/1991 0:00,14.94,14.94,14.94,14.94,66
2/9/1991 0:00,15.01,15.01,15.01,15.01,136
2/11/1991 0:00,15.09,15.09,15.09,15.09,33
2/12/1991 0:00,15.07,15.07,15.07,15.07,236
2/13/1991 0:00,15.25,15.25,15.25,15.25,33
2/22/1991 0:00,15.33,15.33,15.33,15.33,116
2/23/1991 0:00,15.41,15.41,15.41,15.41,127
2/25/1991 0:00,15.33,15.33,15.33,15.33,410
2/26/1991 0:00,15.25,15.25,15.25,15.25,100
2/27/1991 0:00,15.17,15.17,15.17,15.17,258
2/28/1991 0:00,15.09,15.09,15.09,15.09,46
3/1/1991 0:00,15.01,15.01,15.01,15.01,28
3/2/1991 0:00,14.03,14.03,14.03,14.03,18
3/4/1991 0:00,14.86,14.86,14.86,14.86,30
3/5/1991 0:00,14.79,14.79,14.79,14.79,22
3/6/1991 0:00,14.72,14.72,14.72,14.72,21
3/7/1991 0:00,14.65,14.65,14.65,14.65,5
3/8/1991 0:00,14.58,14.58,14.58,14.58,10
3/9/1991 0:00,14.51,14.51,14.51,14.51,4
3/11/1991 0:00,14.44,14.44,14.44,14.44,15
3/12/1991 0:00,14.37,14.37,14.37,14.37,13
3/13/1991 0:00,14.3,14.3,14.3,14.3,39
3/14/1991 0:00,14.23,14.23,14.23,14.23,32
3/15/1991 0:00,14.16,14.16,14.16,14.16,13
3/16/1991 0:00,14.09,14.09,14.09,14.09,8
3/18/1991 0:00,14.02,14.02,14.02,14.02,26
3/19/1991 0:00,13.95,13.95,13.95,13.95,15
3/20/1991 0:00,13.88,13.88,13.88,13.88,19
3/21/1991 0:00,13.81,13.81,13.81,13.81,12
3/22/1991 0:00,13.74,13.74,13.74,13.74,10
3/23/1991 0:00,13.67,13.67,13.67,13.67,2
3/25/1991 0:00,13.6,13.6,13.6,13.6,4
3/26/1991 0:00,13.53,13.53,13.53,13.53,4
3/27/1991 0:00,13.46,13.46,13.46,13.46,90
3/28/1991 0:00,13.39,13.39,13.39,13.39,4
3/29/1991 0:00,13.18,13.18,13.18,13.18,12
3/30/1991 0:00,13.25,13.25,13.25,13.25,13
4/2/1991 0:00,13.11,13.11,13.11,13.11,14
4/3/1991 0:00,13.04,13.04,13.04,13.04,11
4/4/1991 0:00,12.97,12.97,12.97,12.97,7
4/5/1991 0:00,12.91,12.91,12.91,12.91,14
4/6/1991 0:00,12.85,12.85,12.85,12.85,14
4/8/1991 0:00,12.79,12.79,12.79,12.79,2
4/9/1991 0:00,12.73,12.73,12.73,12.73,1
4/10/1991 0:00,12.67,12.67,12.67,12.67,4
4/11/1991 0:00,12.61,12.61,12.61,12.61,2
4/12/1991 0:00,12.55,12.55,12.55,12.55,7
4/13/1991 0:00,12.49,12.49,12.49,12.49,10
4/16/1991 0:00,12.37,12.37,12.37,12.37,3
4/17/1991 0:00,12.31,12.31,12.31,12.31,2
4/18/1991 0:00,12.31,12.31,12.31,12.31,0
4/19/1991 0:00,12.19,12.19,12.19,12.19,3
4/20/1991 0:00,12.19,12.19,12.19,12.19,0
4/22/1991 0:00,12.19,12.19,12.19,12.19,0
4/23/1991 0:00,12.01,12.01,12.01,12.01,1
4/24/1991 0:00,11.95,11.95,11.95,11.95,1
4/25/1991 0:00,11.89,11.89,11.89,11.89,2
4/26/1991 0:00,11.83,11.83,11.83,11.83,4
4/27/1991 0:00,11.83,11.83,11.83,11.83,0
4/29/1991 0:00,11.71,11.71,11.71,11.71,5
4/30/1991 0:00,11.65,11.65,11.65,11.65,6
5/2/1991 0:00,11.59,11.59,11.59,11.59,6
5/3/1991 0:00,11.53,11.53,11.53,11.53,5
5/4/1991 0:00,11.47,11.47,11.47,11.47,15
5/6/1991 0:00,11.47,11.47,11.47,11.47,0
5/7/1991 0:00,11.35,11.35,11.35,11.35,10
5/8/1991 0:00,11.29,11.29,11.29,11.29,20
5/9/1991 0:00,11.23,11.23,11.23,11.23,87
5/10/1991 0:00,11.17,11.17,11.17,11.17,49
5/11/1991 0:00,11.11,11.11,11.11,11.11,37
5/13/1991 0:00,11.05,11.05,11.05,11.05,87
5/14/1991 0:00,10.99,11.11,10.99,10.99,205
5/15/1991 0:00,11.17,11.17,11.17,11.17,116
5/16/1991 0:00,11.23,11.23,11.23,11.23,92
5/17/1991 0:00,11.29,11.29,11.29,11.29,378
5/18/1991 0:00,11.35,11.35,11.35,11.35,307
5/20/1991 0:00,11.41,11.41,11.41,11.41,533
5/21/1991 0:00,11.47,11.47,11.47,11.47,383
5/22/1991 0:00,11.53,11.53,11.53,11.53,488
5/23/1991 0:00,11.59,11.59,11.59,11.59,312
5/24/1991 0:00,11.41,11.41,11.41,11.41,41
5/25/1991 0:00,11.35,11.35,11.35,11.35,64
5/27/1991 0:00,11.29,11.29,11.29,11.29,253
5/28/1991 0:00,11.29,11.29,11.29,11.29,0
5/29/1991 0:00,11.29,11.29,11.29,11.29,0
5/30/1991 0:00,11.29,11.29,11.29,11.29,0
5/31/1991 0:00,11.29,11.29,11.29,11.29,0
6/1/1991 0:00,11.29,11.29,11.29,11.29,0
6/3/1991 0:00,11.29,11.29,11.29,11.29,0
6/4/1991 0:00,11.29,11.29,11.29,11.29,0
6/5/1991 0:00,11.29,11.29,11.29,11.29,0
6/6/1991 0:00,11.29,11.29,11.29,11.29,0
6/7/1991 0:00,11.29,11.29,11.29,11.29,0
6/8/1991 0:00,7.95,7.95,7.4,7.95,5
6/10/1991 0:00,7.5,7.5,7.5,7.5,15
6/11/1991 0:00,6.2,7.75,6.1,6.2,173
6/12/1991 0:00,7.85,8.05,7.6,7.85,252
